hwd;pronSampa;ipa
sunbelt;s V n b E l t;sʌnbɛlt
poconos;p @U k @ n @U z;poʊkənoʊz
homeric;h @U m E r\ i k;hoʊmɛɹik
coprocessor;k @U p r\ A s E s 3:r;koʊpɹɑsɛsɜ:r
midstream;m I d s t r\ i: m;mɪdstɹiːm
exonerated;i g z A n 3:r eI 4 i d;igzɑnɜ:r?ɾid
whippany;w I p @ n i:;wɪpəniː
holderness;h @U l d 3:r n @ s;hoʊldɜ:rnəs
prospera;p r\ @U s p E r\ @;pɹoʊspɛɹə
vanhooser;v { n h u z 3:r;vænhuzɜ:r
autonomous;O: t A n @ m @ s;Oːtɑnəməs
petunia;p @ t u n i: @;pətuniːə
murdoch's;m 3:r 4 A k s;mɜ:rɾɑks
emblems;E m b l @ m z;ɛmbləmz
cradling;k r\ eI 4 @ l i N;kɹ?ɾəliŋ
metro;m E t r\ @U;mɛtɹoʊ
shag;S { g;ʃæg
breeden;b r\ i: d @ n;bɹiːdən
sandwiched;s { n d w I tS t;sændwɪ?t
kimrey;k I m r\ i:;kɪmɹiː
crabeater;k r\ { b i: 4 3:r;kɹæbiːɾɜ:r
razorback's;r\ eI z 3:r b { k s;ɹ?zɜ:rbæks
prevail(2);p r\ i: v eI l;pɹiːv?l
harmel;h A r\ m @ l;hɑɹməl
confectionaries;k @ n f E k S @ n E r\ i: z;kənfɛkʃənɛɹiːz
abo's;A b @U z;ɑboʊz
assemblers;@ s E m b l 3:r z;əsɛmblɜ:rz
brian;b r\ aI @ n;bɹ?ən
prairie's;p r\ E r\ i: z;pɹɛɹiːz
heinold;h aI n @U l d;h?noʊld
dinneen;d i n i: n;diniːn
mertes;m E r\ 4 E s;mɛɹɾɛs
celnik;s E l n i k;sɛlnik
aviaries;eI v i: E r\ i: z;?viːɛɹiːz
forte;f O: r\ 4 eI;fOːɹɾ?
paperworkers;p eI p 3:r w 3:r k 3:r z;p?pɜ:rwɜ:rkɜ:rz
slappey;s l { p i:;slæpiː
truck;t r\ V k;tɹʌk
cornered;k O: r\ n 3:r d;kOːɹnɜ:rd
kossuth;k A s @ T;kɑsəθ
mcgalliard;m @ g { l i: A r\ d;məgæliːɑɹd
brazeau;b r\ @ z @U;bɹəzoʊ
postholes;p @U s t h @U l z;poʊsthoʊlz
compufund;k A m p j u f V n d;kɑmpjufʌnd
columnists(2);k A l @ m n @ s s;kɑləmnəss
rewards(2);r\ i: w O: r\ d z;ɹiːwOːɹdz
giggling(2);g I g l i N;gɪgliŋ
ganske;g { n s k;gænsk
entomologist;E n t @ m A l @ dZ @ s t;ɛntəmɑlə?əst
lenses(2);l E n z i z;lɛnziz
desanti;d i s A n t i:;disɑntiː
wilham;w I l h @ m;wɪlhəm
eccentricity;E k s @ n t r\ I s @ 4 i:;ɛksəntɹɪsəɾiː
tatlock;t { t l A k;tætlɑk
forebrain;f O: r\ b r\ eI n;fOːɹbɹ?n
eventually(2);i v E n S @ l i:;ivɛnʃəliː
cup;k V p;kʌp
kiyotaka;k i: @U t A k @;kiːoʊtɑkə
schechtman;S E k t m @ n;ʃɛktmən
canavan;k { n @ v { n;kænəvæn
nowak;n @U v { k;noʊvæk
pingree;p i N g r\ i:;piŋgɹiː
pachter;p { k t 3:r;pæktɜ:r
rosalez;r\ @U s A l E z;ɹoʊsɑlɛz
emplacements;i m p l eI s m @ n t s;impl?smənts
phetteplace;f E t p l eI s;fɛtpl?s
marinas;m 3:r i: n @ z;mɜ:riːnəz
tanzania(2);t { n z @ n i: @;tænzəniːə
crossbills;k r\ O: s b I l z;kɹOːsbɪlz
boca;b @U k @;boʊkə
merwe;m 3:r w i:;mɜ:rwiː
zahn;z { n;zæn
rumer;r\ u m 3:r;ɹumɜ:r
fajardo;f A j A r\ 4 @U;fɑjɑɹɾoʊ
chisler(2);tS I s l 3:r;?ɪslɜ:r
from(2);f 3:r m;fɜ:rm
riskless;r\ I s k l @ s;ɹɪskləs
furby;f 3:r b i:;fɜ:rbiː
reul;r\ u l;ɹul
lacerte;l A tS E r\ 4 i:;lɑ?ɛɹɾiː
fiebig;f i: b i g;fiːbig
rainforests(3);r\ aI n f O: r\ @ s;ɹ?nfOːɹəs
angiomedics;{ n dZ i: @U m E 4 i k s;æn?iːoʊmɛɾiks
orvin;O: r\ v i n;Oːɹvin
gloats;g l @U t s;gloʊts
slemp;s l E m p;slɛmp
abby;{ b i:;æbiː
catain(2);k @ t eI n;kət?n
pullin;p U l i n;pʊlin
mariam;m E r\ i: { m;mɛɹiːæm
recollect(2);r\ i: k @ l E k t;ɹiːkəlɛkt
poorly;p U r\ l i:;pʊɹliː
monorail;m A n 3:r eI l;mɑnɜ:r?l
singular;s I N g j @ l 3:r;sɪŋgjəlɜ:r
interrupt(2);I n 3:r V p t;ɪnɜ:rʌpt
beltsville;b E l t s v I l;bɛltsvɪl
forints;f O: r\ i n t s;fOːɹints
rolla;r\ A l @;ɹɑlə
ladakh;l A 4 @ k;lɑɾək
healthful;h E l T f @ l;hɛlθfəl
poops;p u p s;pups
dormitories;d O: r\ m @ t O: r\ i: z;dOːɹmətOːɹiːz
stenholm;s t E n h @U l m;stɛnhoʊlm
citron;s I t r\ @ n;sɪtɹən
spurlock;s p 3:r l A k;spɜ:rlɑk
sensuality;s E n tS @ w { l @ 4 i:;sɛn?əwæləɾiː
sifford;s I f 3:r d;sɪfɜ:rd
boaters;b @U 4 3:r z;boʊɾɜ:rz
missimer;m I s i m 3:r;mɪsimɜ:r
tiede;t i: d;tiːd
weisz;v aI S;v?ʃ
trimm;t r\ I m;tɹɪm
pressure;p r\ E S 3:r;pɹɛʃɜ:r
chooses(2);tS u z i z;?uziz
relaxed(2);r\ i: l { k s t;ɹiːlækst
oregon's(2);O: r\ @ g A n z;Oːɹəgɑnz
cellophane;s E l @ f eI n;sɛləf?n
wildwoods;w aI l d w U d z;w?ldwʊdz
chieftains;tS i: f t @ n z;?iːftənz
froning;f r\ @U n i N;fɹoʊniŋ
seminoles;s E m i n @U l z;sɛminoʊlz
franta;f r\ { n t @;fɹæntə
hupe;h j u p;hjup
overlaid;@U v 3:r l eI d;oʊvɜ:rl?d
matzen;m { t z @ n;mætzən
seedpod;s i: d p A d;siːdpɑd
verboten;v 3:r b @U t @ n;vɜ:rboʊtən
metro's;m E t r\ @U z;mɛtɹoʊz
garrisoned;g { r\ @ s @ n d;gæɹəsənd
ludington;l V 4 i N t @ n;lʌɾiŋtən
dornhens;d O: r\ n h E n z;dOːɹnhɛnz
incredible;i n k r\ E 4 @ b @ l;inkɹɛɾəbəl
merchantmen;m 3:r tS @ n t m i n;mɜ:r?əntmin
slovaks;s l @U v { k s;sloʊvæks
havas;h A v A z;hɑvɑz
tactful;t { k t f @ l;tæktfəl
obermiller;A b 3:r m i l 3:r;ɑbɜ:rmilɜ:r
lugar's;l u g 3:r z;lugɜ:rz
telles;t E l z;tɛlz
carrol;k { r\ @ l;kæɹəl
memotec;m E m @U t E k;mɛmoʊtɛk
mazer;m eI z 3:r;m?zɜ:r
legendre;l E g i n d r\ eI;lɛgindɹ?
alleghanian;{ l @ g eI n i: @ n;æləg?niːən
pehl;p E l;pɛl
everly;E v 3:r l i:;ɛvɜ:rliː
plier;p l aI 3:r;pl?ɜ:r
thousandths(2);T aU z @ n T s;θ?zənθs
delbert;d E l b 3:r t;dɛlbɜ:rt
catalyst's;k { 4 @ l i s t s;kæɾəlists
juday;dZ u d eI;?ud?
thinner;T I n 3:r;θɪnɜ:r
bellomo;b E l @U m @U;bɛloʊmoʊ
parrinello;p A r\ i: n E l @U;pɑɹiːnɛloʊ
hinzman;h I n z m @ n;hɪnzmən
belted(2);b E l t i d;bɛltid
hartmann;h A r\ t m @ n;hɑɹtmən
poly's;p A l i: z;pɑliːz
hypotension;h aI p @U t E n S @ n;h?poʊtɛnʃən
baldo;b A l d @U;bɑldoʊ
meditate;m E 4 @ t eI t;mɛɾət?t
somersetshire;s V m 3:r s E t S aI r\;sʌmɜ:rsɛtʃ?ɹ
experimental(5);i k s p E r\ i m E n @ l;ikspɛɹimɛnəl
depardieu;d i: p A r\ d j V;diːpɑɹdjʌ
podolak;p @ d @U l @ k;pədoʊlək
abaco;{ b @ k @U;æbəkoʊ
babich;b { b i tS;bæbi?
fliss;f l I s;flɪs
orthopedic;O: r\ T @ p i: 4 i k;Oːɹθəpiːɾik
cea(2);s i: @;siːə
fully;f U l i:;fʊliː
school's;s k u l z;skulz
fork-lift;f O: r\ k l I f t;fOːɹklɪft
kwiecinski;k w i: tS I n s k i:;kwiː?ɪnskiː
historical;h i s t O: r\ i k @ l;histOːɹikəl
hollopeter;h A l @ p i: 4 3:r;hɑləpiːɾɜ:r
camerer;k { m 3:r 3:r;kæmɜ:rɜ:r
airplane;E r\ p l eI n;ɛɹpl?n
yelland;j E l @ n d;jɛlənd
houze;h aU z;h?z
maisch;m aI S;m?ʃ
compumat;k A m p j u m { t;kɑmpjumæt
heifers;h E f 3:r z;hɛfɜ:rz
kristoff;k r\ I s t O: f;kɹɪstOːf
redefine;r\ i: 4 i f aI n;ɹiːɾif?n
schwalbach;S w O: l b A k;ʃwOːlbɑk
poignant;p OI n j @ n t;p?njənt
flummox;f l @ m O: k s;fləmOːks
sawtell;s O: t E l;sOːtɛl
cyclists(3);s aI k l i s t s;s?klists
marsland;m A r\ s l @ n d;mɑɹslənd
weekender;w i: k E n d 3:r;wiːkɛndɜ:r
scheffler;S E f @ l 3:r;ʃɛfəlɜ:r
monumental;m A n j @ m E n t @ l;mɑnjəmɛntəl
eoff;eI O: f;?Oːf
draftee;d r\ { f t i:;dɹæftiː
reminding;r\ i: m aI n d i N;ɹiːm?ndiŋ
worland;w 3:r l @ n d;wɜ:rlənd
truscott;t r\ V s k @ t;tɹʌskət
kramlich;k r\ { m l i k;kɹæmlik
terra;t E r\ @;tɛɹə
stuttering;s t V 4 3:r i N;stʌɾɜ:riŋ
replication;r\ E p l @ k eI S @ n;ɹɛplək?ʃən
ozora;@ z O: r\ @;əzOːɹə
klinedinst;k l I n i d i n s t;klɪnidinst
obsessed;@ b s E s t;əbsɛst
mentink;m E n t i N k;mɛntiŋk
ballroom;b O: l r\ u m;bOːlɹum
complex;k A m p l E k s;kɑmplɛks
fatten;f { t @ n;fætən
wimbish;w I m b i S;wɪmbiʃ
carmela;k A r\ m E l @;kɑɹmɛlə
rhoads;r\ @U d z;ɹoʊdz
toshiharu;t @U S i h A r\ u;toʊʃihɑɹu
seemed;s i: m d;siːmd
cowherd;k aU h 3:r d;k?hɜ:rd
radically;r\ { 4 i k l i:;ɹæɾikliː
shorb;S O: r\ b;ʃOːɹb
raskin;r\ { s k i n;ɹæskin
borawski;b 3:r A f s k i:;bɜ:rɑfskiː
brand-new;b r\ { n d n u;bɹændnu
covered;k V v 3:r d;kʌvɜ:rd
hulett;h j u l i t;hjulit
notorious;n @U t O: r\ i: @ s;noʊtOːɹiːəs
fainting;f eI n t i N;f?ntiŋ
images;I m @ dZ @ z;ɪmə?əz
romberger;r\ A m b 3:r g 3:r;ɹɑmbɜ:rgɜ:r
powwow;p aU w aU;p?w?
horseradish;h O: r\ s r\ { 4 i S;hOːɹsɹæɾiʃ
leithia;l i: D i: @;liːðiːə
foreshadow;f O: r\ S { 4 @U;fOːɹʃæɾoʊ
dimarino;d i m A r\ i: n @U;dimɑɹiːnoʊ
kenefick;k E n i f i k;kɛnifik
mohring;m O: r\ i N;mOːɹiŋ
cossairt;k A s 3:r t;kɑsɜ:rt
varies;v E r\ i: z;vɛɹiːz
melendez;m @ l E n d E z;məlɛndɛz
environmentalists(2);E n v aI r\ @ n m E n t @ l i s s;ɛnv?ɹənmɛntəliss
alsup;{ l s @ p;ælsəp
ammeen;@ m i: n;əmiːn
dohse;d @U s;doʊs
maximizing;m { k s @ m aI z i N;mæksəm?ziŋ
radius;r\ eI 4 i: @ s;ɹ?ɾiːəs
farquhar;f A r\ k w 3:r;fɑɹkwɜ:r
forays;f O: r\ eI z;fOːɹ?z
metall;m E t O: l;mɛtOːl
insupportable;i n s @ p O: r\ 4 @ b @ l;insəpOːɹɾəbəl
symptomatic;s I m p t @ m { 4 i k;sɪmptəmæɾik
pajoli;p @ dZ @U l i:;pə?oʊliː
townsley;t aU n s l i:;t?nsliː
wickedly;w I k i d l i:;wɪkidliː
amstutz;{ m s t @ t s;æmstəts
disconnecting;d I s k @ n E k t i N;dɪskənɛktiŋ
sotello;s @U t E l @U;soʊtɛloʊ
perkins';p 3:r k i n z;pɜ:rkinz
gerena;dZ 3:r E n @;?ɜ:rɛnə
crannell;k r\ { n @ l;kɹænəl
researchers';r\ i: s 3:r tS 3:r z;ɹiːsɜ:r?ɜ:rz
clumsiness;k l V m z i: n @ s;klʌmziːnəs
tunny;t V n i:;tʌniː
whether;w E D 3:r;wɛðɜ:r
contractor's;k A n t r\ { k t 3:r z;kɑntɹæktɜ:rz
eventual;@ v E n tS u @ l;əvɛn?uəl
eurosterling;j u r\ @U s t 3:r l i N;juɹoʊstɜ:rliŋ
girolamo;dZ i r\ @U l A m @U;?iɹoʊlɑmoʊ
innately;i n eI t l i:;in?tliː
derosia;d i r\ @U s i: @;diɹoʊsiːə
underselling;V n d 3:r s E l i N;ʌndɜ:rsɛliŋ
nooks;n U k s;nʊks
length(2);l E N T;lɛŋθ
covenant;k V v @ n @ n t;kʌvənənt
triplicate;t r\ I p l i k @ t;tɹɪplikət
sputters;s p V 4 3:r z;spʌɾɜ:rz
sofamor;s @U f @ m O: r\;soʊfəmOːɹ
pitch;p I tS;pɪ?
petsch;p E tS;pɛ?
bonifas;b A n i f @ z;bɑnifəz
domino;d A m @ n @U;dɑmənoʊ
mcconathy;m @ k A n @ T i:;məkɑnəθiː
particular;p 3:r t I k j @ l 3:r;pɜ:rtɪkjəlɜ:r
lipa;l i: p @;liːpə
rains;r\ eI n z;ɹ?nz
straughn;s t r\ O: n;stɹOːn
sluder;s l u 4 3:r;sluɾɜ:r
scotches;s k A tS i z;skɑ?iz
damn;d { m;dæm
lampron;l { m p r\ @ n;læmpɹən
mechanic;m @ k { n i k;məkænik
bottlenecks;b A 4 @ l n E k s;bɑɾəlnɛks
lying;l aI i N;l?iŋ
underpinnings;V n d 3:r p I n i N z;ʌndɜ:rpɪniŋz
mation;m { t j @ n;mætjən
